epoch,avg_dice
2,0.8936
3,0.8980
4,0.9186
5,0.9055
6,0.9024
7,0.9282
8,0.9282
9,0.9309
10,0.9286
11,0.9355
12,0.9334
13,0.9327
14,0.9348
15,0.9383
16,0.9342
17,0.9320
18,0.9379
19,0.9304
20,0.9408
21,0.9278
22,0.9349
23,0.9267
24,0.9284
25,0.9349
26,0.9253
27,0.9112
28,0.9271
29,0.9207
30,0.9325
31,0.9231
32,0.9260
