epoch,avg_dice
2,0.8871
3,0.9106
4,0.8974
5,0.8799
6,0.9148
7,0.9168
8,0.9199
9,0.9246
10,0.9215
11,0.9043
12,0.9127
13,0.9328
14,0.9290
15,0.9295
16,0.9378
17,0.9321
18,0.9333
19,0.9309
20,0.9382
21,0.9276
22,0.9355
23,0.9363
24,0.9377
25,0.9323
26,0.9363
27,0.9324
28,0.9346
29,0.9236
30,0.9359
31,0.9339
32,0.9350
33,0.9359
34,0.9326
35,0.9378
36,0.9326
37,0.9250
38,0.9279
39,0.9362
40,0.9219
41,0.8799
42,0.9254
43,0.9282
44,0.9367
45,0.9032
